,notification_date,postcode,likely_source_of_infection,lhd_2010_code,lhd_2010_name,lga_code19,lga_name19,locality,name,state,long,lat,Cases
854,2020-03-12,2456.0,Overseas,X820,Mid North Coast,11800.0,Coffs Harbour (C),WOOLGOOLGA,"ARRAWARRA, ARRAWARRA HEADLAND, CORINDI BEACH, DIRTY CREEK, EMERALD BEACH, MULLAWAY, RED ROCK, SAFETY BEACH, SANDY BEACH, UPPER CORINDI, WOOLGOOLGA",NSW,153.14340900000002,-30.073663,2
1065,2020-03-13,2128.0,Local (Known Contact),X740,Western Sydney,16260.0,Parramatta (C),SILVERWATER,SILVERWATER,NSW,151.04759099999998,-33.835928,1
1168,2020-03-14,2306.0,Local (Unknown Contact),X800,Hunter New England,14650.0,Lake Macquarie (C),WINDALE,WINDALE,NSW,151.682517,-32.993286,1
1298,2020-03-15,2080.0,Local (Known Contact),X760,Northern Sydney,14000.0,Hornsby (A),MOUNT KURING-GAI,MOUNT KURING-GAI,NSW,151.143563,-33.658174,1
1486,2020-03-16,2425.0,Overseas,X800,Hunter New England,15240.0,Mid-Coast (A),WASHPOOL,"ALLWORTH, BOORAL, GIRVAN, STROUD, THE BRANCH, WASHPOOL",NSW,152.002451,-32.417598,1
1344,2020-03-16,2516.0,Overseas,X730,Illawarra Shoalhaven,18450.0,Wollongong (C),BULLI TOPS,"BULLI, BULLI TOPS",NSW,150.90483500000002,-34.332109,1
1608,2020-03-17,2297.0,Local (Known Contact),X800,Hunter New England,15900.0,Newcastle (C),TIGHES HILL,TIGHES HILL,NSW,151.750126,-32.909135,2
1516,2020-03-17,2231.0,Overseas,X720,South Eastern Sydney,17150.0,Sutherland Shire (A),KURNELL,KURNELL,NSW,151.193492,-34.029927,1
1725,2020-03-18,2484.0,Local (Unknown Contact),X810,Northern NSW,17550.0,Tweed (A),ZARA,"BACK CREEK, BOAT HARBOUR, BRAY PARK, BRAYS CREEK, BYANGUM, BYRRILL CREEK, CEDAR CREEK, CHILLINGHAM, CHOWAN CREEK, CLOTHIERS CREEK, COMMISSIONERS CREEK, CONDONG, CRYSTAL CREEK, CUDGERA CREEK, DOON DOON, DULGUIGAN, DUM DUM, DUNBIBLE, DUNGAY, EUNGELLA, EVIRON, FARRANTS HILL, FERNVALE, HOPKINS CREEK, KIELVALE, KUNGHUR, KUNGHUR CREEK, KYNNUMBOON, LIMPINWOOD, MEBBIN, MIDGINBIL, MOUNT BURRELL, MOUNT WARNING, MURWILLUMBAH, MURWILLUMBAH DC, MURWILLUMBAH SOUTH, NOBBYS CREEK, NORTH ARM, NUMINBAH, NUNDERI, PALMVALE, PUMPENBIL, RESERVE CREEK, ROUND MOUNTAIN, ROWLANDS CREEK, SMITHS CREEK, SOUTH MURWILLUMBAH, STOKERS SIDING, TERRAGON, TOMEWIN, TYALGUM, TYALGUM CREEK, TYGALGAH, UKI, UPPER CRYSTAL CREEK, URLIUP, WARDROP VALLEY, ZARA",NSW,153.31648,-28.38059,1
1788,2020-03-19,2421.0,Overseas,X800,Hunter New England,12700.0,Dungog (A),WEBBERS CREEK,"FISHERS HILL, PATERSON, SUMMER HILL, TOCAL, TORRYBURN, TREVALLYN, VACY, WEBBERS CREEK",NSW,151.5127294,-32.58240999,3
1636,2020-03-19,2226.0,Overseas,X720,South Eastern Sydney,17150.0,Sutherland Shire (A),JANNALI,"BONNET BAY, COMO, JANNALI",NSW,151.063808,-34.009345,2
1048,2020-03-20,2773.0,Local (Known Contact),X750,Nepean Blue Mountains,10900.0,Blue Mountains (C),LAPSTONE,"GLENBROOK, LAPSTONE",NSW,150.62678799999998,-33.768837,2
