postcode,locality,name,state,long,lat
1001,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1002,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1003,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1004,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1005,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1006,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1007,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1008,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1009,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1010,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1020,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1021,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1022,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1023,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1025,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1026,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1027,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1028,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1029,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1030,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1031,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1032,SYDNEY,SYDNEY,NSW,150.874182,-33.662834
1033,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1034,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1035,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1036,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1037,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1038,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1039,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1040,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1041,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1042,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1043,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
1044,SYDNEY,SYDNEY,NSW,151.268071,-33.794883
