,notification_date,postcode,likely_source_of_infection,lhd_2010_code,lhd_2010_name,lga_code19,lga_name19,locality,name,state,long,lat
0,2020-01-22,2134.0,Overseas,1,1,1,1,1,1,1,1,1
1,2020-01-24,2121.0,Overseas,1,1,1,1,1,1,1,1,1
2,2020-01-25,2033.0,Overseas,1,1,1,1,1,1,1,1,1
3,2020-01-25,2071.0,Overseas,1,1,1,1,1,1,1,1,1
4,2020-01-30,2350.0,Overseas,1,1,1,1,1,1,1,1,1
5,2020-02-21,2010.0,Overseas,1,1,1,1,1,1,1,1,1
6,2020-02-26,2073.0,Local (Unknown Contact),1,1,1,1,1,1,1,1,1
7,2020-02-27,2070.0,Overseas,1,1,1,1,1,1,1,1,1
8,2020-02-29,2077.0,Overseas,1,1,1,1,1,1,1,1,1
9,2020-03-01,2022.0,Local (Unknown Contact),1,1,1,1,1,1,1,1,1
10,2020-03-01,2163.0,Local (Known Contact),1,1,1,1,1,1,1,1,1
11,2020-03-01,2163.0,Overseas,1,1,1,1,1,1,1,1,1
12,2020-03-02,2077.0,Local (Known Contact),1,1,1,1,1,1,1,1,1
13,2020-03-02,2217.0,Overseas,1,1,1,1,1,1,1,1,1
14,2020-03-03,2090.0,Overseas,1,1,1,1,1,1,1,1,1
15,2020-03-03,2122.0,Local (Known Contact),1,1,1,1,1,1,1,1,1
16,2020-03-03,2153.0,Overseas,1,1,1,1,1,1,1,1,1
17,2020-03-03,2158.0,Overseas,1,1,1,1,1,1,1,1,1
18,2020-03-03,2196.0,Overseas,1,1,1,1,1,1,1,1,1
19,2020-03-03,2200.0,Overseas,1,1,1,1,1,1,1,1,1
20,2020-03-03,2232.0,Overseas,1,1,1,1,1,1,1,1,1
21,2020-03-04,2042.0,Local (Known Contact),1,1,1,1,1,1,1,1,1
22,2020-03-04,2087.0,Overseas,1,1,1,1,1,1,1,1,1
23,2020-03-04,2113.0,Local (Known Contact),3,3,3,3,3,3,3,3,3
24,2020-03-04,2113.0,Overseas,1,1,1,1,1,1,1,1,1
25,2020-03-04,2749.0,Local (Known Contact),1,1,1,1,1,1,1,1,1
26,2020-03-05,2011.0,Overseas,1,1,1,1,1,1,1,1,1
27,2020-03-05,2040.0,Local (Known Contact),1,1,1,1,1,1,1,1,1
28,2020-03-05,2076.0,Local (Known Contact),1,1,1,1,1,1,1,1,1
29,2020-03-05,2119.0,Local (Known Contact),1,1,1,1,1,1,1,1,1
30,2020-03-05,2122.0,Local (Known Contact),1,1,1,1,1,1,1,1,1
31,2020-03-05,2127.0,Local (Known Contact),1,1,1,1,1,1,1,1,1
32,2020-03-05,2144.0,Local (Known Contact),1,1,1,1,1,1,1,1,1
33,2020-03-05,2232.0,Overseas,1,1,1,1,1,1,1,1,1
34,2020-03-05,2580.0,Overseas,1,1,1,1,1,1,1,1,1
35,2020-03-06,2042.0,Overseas,1,1,1,1,1,1,1,1,1
36,2020-03-06,2087.0,Local (Known Contact),1,1,1,1,1,1,1,1,1
37,2020-03-06,2115.0,Local (Known Contact),1,1,1,1,1,1,1,1,1
38,2020-03-06,2119.0,Local (Known Contact),2,2,2,2,2,2,2,2,2
39,2020-03-06,2145.0,Local (Known Contact),1,1,1,1,1,1,1,1,1
40,2020-03-06,2234.0,Overseas,1,1,1,1,1,1,1,1,1
41,2020-03-06,2428.0,Overseas,1,1,1,1,1,1,1,1,1
42,2020-03-07,2028.0,Interstate,1,1,1,1,1,1,1,1,1
43,2020-03-07,2113.0,Local (Known Contact),1,1,1,1,1,1,1,1,1
44,2020-03-07,2116.0,Local (Unknown Contact),1,1,1,1,1,1,1,1,1
45,2020-03-07,2117.0,Local (Known Contact),2,2,2,2,2,2,2,2,2
46,2020-03-07,2777.0,Overseas,1,1,1,1,1,1,1,1,1
47,2020-03-08,2064.0,Local (Known Contact),1,1,1,1,1,1,1,1,1
48,2020-03-08,2077.0,Local (Unknown Contact),1,1,1,1,1,1,1,1,1
49,2020-03-08,2115.0,Local (Known Contact),2,2,2,2,2,2,2,2,2
50,2020-03-08,2116.0,Local (Known Contact),2,2,2,2,2,2,2,2,2
51,2020-03-08,2163.0,Overseas,1,1,1,1,1,1,1,1,1
52,2020-03-08,2170.0,Overseas,1,1,1,1,1,1,1,1,1
53,2020-03-08,2761.0,Overseas,1,1,1,1,1,1,1,1,1
54,2020-03-09,2010.0,Overseas,1,1,1,1,1,1,1,1,1
55,2020-03-09,2043.0,Overseas,1,1,1,1,1,1,1,1,1
56,2020-03-09,2046.0,Local (Known Contact),1,1,1,1,1,1,1,1,1
57,2020-03-09,2047.0,Overseas,1,1,1,1,1,1,1,1,1
58,2020-03-09,2065.0,Overseas,1,1,1,1,1,1,1,1,1
59,2020-03-09,2113.0,Local (Known Contact),1,1,1,1,1,1,1,1,1
60,2020-03-09,2765.0,Local (Known Contact),1,1,1,1,1,1,1,1,1
61,2020-03-09,2769.0,Overseas,1,1,1,1,1,1,1,1,1
62,2020-03-10,2029.0,Overseas,1,1,1,1,1,1,1,1,1
